id,created_time,full_name,email,phone_number,company_name,city,state,country,lead_status,notes,campaign_name
fb_026,2026-05-16 15:26:00,Lead User 026,lead026@example.com,+919876543236,Company 3,Delhi,Delhi,India,No Answer,Test note for row 026,Eden Park Campaign
fb_027,2026-05-17 16:27:00,Lead User 027,lead027@example.com,+919876543237,Company 4,Pune,Maharashtra,India,Not Interested,Test note for row 027,Leads on Demand
fb_028,2026-05-18 17:28:00,Lead User 028,lead028@example.com,+919876543238,Company 5,Chennai,Tamil Nadu,India,Closed,Test note for row 028,Sarjapur Plots
fb_029,2026-05-19 18:29:00,Lead User 029,lead029@example.com,+919876543239,Company 6,Hyderabad,Telangana,India,Callback,Test note for row 029,Varah Swamy
fb_030,2026-05-20 09:30:00,Lead User 030,lead030@example.com,+919876543240,Company 7,Mumbai,Maharashtra,India,Interested,Test note for row 030,Meridian Tower Launch
fb_031,2026-05-21 10:31:00,Lead User 031,lead031@example.com,+919876543241,Company 8,Bangalore,Karnataka,India,No Answer,Test note for row 031,Eden Park Campaign
fb_032,2026-05-22 11:32:00,Lead User 032,lead032@example.com,+919876543242,Company 9,Delhi,Delhi,India,Not Interested,Test note for row 032,Leads on Demand
fb_033,2026-05-23 12:33:00,Lead User 033,lead033@example.com,+919876543243,Company 10,Pune,Maharashtra,India,Closed,Test note for row 033,Sarjapur Plots
fb_034,2026-05-24 13:34:00,Lead User 034,lead034@example.com,+919876543244,Company 11,Chennai,Tamil Nadu,India,Callback,Test note for row 034,Varah Swamy
fb_035,2026-05-25 14:35:00,Lead User 035,lead035@example.com,+919876543245,Company 12,Hyderabad,Telangana,India,Interested,Test note for row 035,Meridian Tower Launch
fb_036,2026-05-26 15:36:00,Lead User 036,lead036@example.com,+919876543246,Company 1,Mumbai,Maharashtra,India,No Answer,Test note for row 036,Eden Park Campaign
fb_037,2026-05-27 16:37:00,Lead User 037,lead037@example.com,+919876543247,Company 2,Bangalore,Karnataka,India,Not Interested,Test note for row 037,Leads on Demand
fb_038,2026-05-28 17:38:00,Lead User 038,lead038@example.com,+919876543248,Company 3,Delhi,Delhi,India,Closed,Test note for row 038,Sarjapur Plots
fb_039,2026-05-29 18:39:00,Lead User 039,lead039@example.com,+919876543249,Company 4,Pune,Maharashtra,India,Callback,Test note for row 039,Varah Swamy
fb_040,2026-05-10 09:40:00,Lead User 040,lead040@example.com,+919876543250,Company 5,Chennai,Tamil Nadu,India,Interested,Test note for row 040,Meridian Tower Launch
fb_041,2026-05-11 10:41:00,Lead User 041,lead041@example.com,+919876543251,Company 6,Hyderabad,Telangana,India,No Answer,Test note for row 041,Eden Park Campaign
fb_042,2026-05-12 11:42:00,Lead User 042,lead042@example.com,+919876543252,Company 7,Mumbai,Maharashtra,India,Not Interested,Test note for row 042,Leads on Demand
fb_043,2026-05-13 12:43:00,Lead User 043,lead043@example.com,+919876543253,Company 8,Bangalore,Karnataka,India,Closed,Test note for row 043,Sarjapur Plots
fb_044,2026-05-14 13:44:00,Lead User 044,lead044@example.com,+919876543254,Company 9,Delhi,Delhi,India,Callback,Test note for row 044,Varah Swamy
fb_045,2026-05-15 14:45:00,Lead User 045,lead045@example.com,+919876543255,Company 10,Pune,Maharashtra,India,Interested,Test note for row 045,Meridian Tower Launch
fb_046,2026-05-16 15:46:00,Lead User 046,lead046@example.com,+919876543256,Company 11,Chennai,Tamil Nadu,India,No Answer,Test note for row 046,Eden Park Campaign
fb_047,2026-05-17 16:47:00,Lead User 047,lead047@example.com,+919876543257,Company 12,Hyderabad,Telangana,India,Not Interested,Test note for row 047,Leads on Demand
fb_048,2026-05-18 17:48:00,Lead User 048,lead048@example.com,+919876543258,Company 1,Mumbai,Maharashtra,India,Closed,Test note for row 048,Sarjapur Plots
fb_049,2026-05-19 18:49:00,Lead User 049,lead049@example.com,+919876543259,Company 2,Bangalore,Karnataka,India,Callback,Test note for row 049,Varah Swamy
fb_050,2026-05-20 09:50:00,Lead User 050,lead050@example.com,+919876543260,Company 3,Delhi,Delhi,India,Interested,Test note for row 050,Meridian Tower Launch
fb_051,2026-05-21 10:51:00,Lead User 051,lead051@example.com,+919876543261,Company 4,Pune,Maharashtra,India,No Answer,Test note for row 051,Eden Park Campaign
fb_052,2026-05-22 11:52:00,Lead User 052,lead052@example.com,+919876543262,Company 5,Chennai,Tamil Nadu,India,Not Interested,Test note for row 052,Leads on Demand
fb_053,2026-05-23 12:53:00,Lead User 053,lead053@example.com,+919876543263,Company 6,Hyderabad,Telangana,India,Closed,Test note for row 053,Sarjapur Plots
fb_054,2026-05-24 13:54:00,Lead User 054,lead054@example.com,+919876543264,Company 7,Mumbai,Maharashtra,India,Callback,Test note for row 054,Varah Swamy
fb_055,2026-05-25 14:55:00,Lead User 055,lead055@example.com,+919876543265,Company 8,Bangalore,Karnataka,India,Interested,Test note for row 055,Meridian Tower Launch
fb_056,2026-05-26 15:56:00,Lead User 056,lead056@example.com,+919876543266,Company 9,Delhi,Delhi,India,No Answer,Test note for row 056,Eden Park Campaign
fb_057,2026-05-27 16:57:00,Lead User 057,lead057@example.com,+919876543267,Company 10,Pune,Maharashtra,India,Not Interested,Test note for row 057,Leads on Demand
fb_058,2026-05-28 17:58:00,Lead User 058,lead058@example.com,+919876543268,Company 11,Chennai,Tamil Nadu,India,Closed,Test note for row 058,Sarjapur Plots
fb_059,2026-05-29 18:59:00,Lead User 059,lead059@example.com,+919876543269,Company 12,Hyderabad,Telangana,India,Callback,Test note for row 059,Varah Swamy
fb_060,2026-05-10 09:00:00,Lead User 060,lead060@example.com,+919876543270,Company 1,Mumbai,Maharashtra,India,Interested,Test note for row 060,Meridian Tower Launch
fb_061,2026-05-11 10:01:00,Lead User 061,lead061@example.com,+919876543271,Company 2,Bangalore,Karnataka,India,No Answer,Test note for row 061,Eden Park Campaign
fb_062,2026-05-12 11:02:00,Lead User 062,lead062@example.com,+919876543272,Company 3,Delhi,Delhi,India,Not Interested,Test note for row 062,Leads on Demand
fb_063,2026-05-13 12:03:00,Lead User 063,lead063@example.com,+919876543273,Company 4,Pune,Maharashtra,India,Closed,Test note for row 063,Sarjapur Plots
fb_064,2026-05-14 13:04:00,Lead User 064,lead064@example.com,+919876543274,Company 5,Chennai,Tamil Nadu,India,Callback,Test note for row 064,Varah Swamy
fb_065,2026-05-15 14:05:00,Lead User 065,lead065@example.com,+919876543275,Company 6,Hyderabad,Telangana,India,Interested,Test note for row 065,Meridian Tower Launch
fb_066,2026-05-16 15:06:00,Lead User 066,lead066@example.com,+919876543276,Company 7,Mumbai,Maharashtra,India,No Answer,Test note for row 066,Eden Park Campaign
fb_067,2026-05-17 16:07:00,Lead User 067,lead067@example.com,+919876543277,Company 8,Bangalore,Karnataka,India,Not Interested,Test note for row 067,Leads on Demand
fb_068,2026-05-18 17:08:00,Lead User 068,lead068@example.com,+919876543278,Company 9,Delhi,Delhi,India,Closed,Test note for row 068,Sarjapur Plots
fb_069,2026-05-19 18:09:00,Lead User 069,lead069@example.com,+919876543279,Company 10,Pune,Maharashtra,India,Callback,Test note for row 069,Varah Swamy
fb_070,2026-05-20 09:10:00,Lead User 070,lead070@example.com,+919876543280,Company 11,Chennai,Tamil Nadu,India,Interested,Test note for row 070,Meridian Tower Launch
fb_071,2026-05-21 10:11:00,Lead User 071,lead071@example.com,+919876543281,Company 12,Hyderabad,Telangana,India,No Answer,Test note for row 071,Eden Park Campaign
fb_072,2026-05-22 11:12:00,Lead User 072,lead072@example.com,+919876543282,Company 1,Mumbai,Maharashtra,India,Not Interested,Test note for row 072,Leads on Demand
fb_073,2026-05-23 12:13:00,Lead User 073,lead073@example.com,+919876543283,Company 2,Bangalore,Karnataka,India,Closed,Test note for row 073,Sarjapur Plots
fb_074,2026-05-24 13:14:00,Lead User 074,lead074@example.com,+919876543284,Company 3,Delhi,Delhi,India,Callback,Test note for row 074,Varah Swamy
fb_075,2026-05-25 14:15:00,Lead User 075,lead075@example.com,+919876543285,Company 4,Pune,Maharashtra,India,Interested,Test note for row 075,Meridian Tower Launch
fb_076,2026-05-26 15:16:00,Lead User 076,lead076@example.com,+919876543286,Company 5,Chennai,Tamil Nadu,India,No Answer,Test note for row 076,Eden Park Campaign
fb_077,2026-05-27 16:17:00,Lead User 077,lead077@example.com,+919876543287,Company 6,Hyderabad,Telangana,India,Not Interested,Test note for row 077,Leads on Demand
fb_078,2026-05-28 17:18:00,Lead User 078,lead078@example.com,+919876543288,Company 7,Mumbai,Maharashtra,India,Closed,Test note for row 078,Sarjapur Plots
fb_079,2026-05-29 18:19:00,Lead User 079,lead079@example.com,+919876543289,Company 8,Bangalore,Karnataka,India,Callback,Test note for row 079,Varah Swamy
fb_080,2026-05-10 09:20:00,Lead User 080,lead080@example.com,+919876543290,Company 9,Delhi,Delhi,India,Interested,Test note for row 080,Meridian Tower Launch
fb_081,2026-05-11 10:21:00,Lead User 081,lead081@example.com,+919876543291,Company 10,Pune,Maharashtra,India,No Answer,Test note for row 081,Eden Park Campaign
fb_082,2026-05-12 11:22:00,Lead User 082,lead082@example.com,+919876543292,Company 11,Chennai,Tamil Nadu,India,Not Interested,Test note for row 082,Leads on Demand
fb_083,2026-05-13 12:23:00,Lead User 083,lead083@example.com,+919876543293,Company 12,Hyderabad,Telangana,India,Closed,Test note for row 083,Sarjapur Plots
fb_084,2026-05-14 13:24:00,Lead User 084,lead084@example.com,+919876543294,Company 1,Mumbai,Maharashtra,India,Callback,Test note for row 084,Varah Swamy
fb_085,2026-05-15 14:25:00,Lead User 085,lead085@example.com,+919876543295,Company 2,Bangalore,Karnataka,India,Interested,Test note for row 085,Meridian Tower Launch
fb_086,2026-05-16 15:26:00,Lead User 086,lead086@example.com,+919876543296,Company 3,Delhi,Delhi,India,No Answer,Test note for row 086,Eden Park Campaign
fb_087,2026-05-17 16:27:00,Lead User 087,lead087@example.com,+919876543297,Company 4,Pune,Maharashtra,India,Not Interested,Test note for row 087,Leads on Demand
fb_088,2026-05-18 17:28:00,Lead User 088,lead088@example.com,+919876543298,Company 5,Chennai,Tamil Nadu,India,Closed,Test note for row 088,Sarjapur Plots
fb_089,2026-05-19 18:29:00,Lead User 089,lead089@example.com,+919876543299,Company 6,Hyderabad,Telangana,India,Callback,Test note for row 089,Varah Swamy
fb_090,2026-05-20 09:30:00,Lead User 090,lead090@example.com,+919876543300,Company 7,Mumbai,Maharashtra,India,Interested,Test note for row 090,Meridian Tower Launch
fb_091,2026-05-21 10:31:00,Lead User 091,lead091@example.com,+919876543301,Company 8,Bangalore,Karnataka,India,No Answer,Test note for row 091,Eden Park Campaign
fb_092,2026-05-22 11:32:00,Lead User 092,lead092@example.com,+919876543302,Company 9,Delhi,Delhi,India,Not Interested,Test note for row 092,Leads on Demand
fb_093,2026-05-23 12:33:00,Lead User 093,lead093@example.com,+919876543303,Company 10,Pune,Maharashtra,India,Closed,Test note for row 093,Sarjapur Plots
fb_094,2026-05-24 13:34:00,Lead User 094,lead094@example.com,+919876543304,Company 11,Chennai,Tamil Nadu,India,Callback,Test note for row 094,Varah Swamy
fb_095,2026-05-25 14:35:00,Lead User 095,lead095@example.com,+919876543305,Company 12,Hyderabad,Telangana,India,Interested,Test note for row 095,Meridian Tower Launch
fb_096,2026-05-26 15:36:00,Lead User 096,lead096@example.com,+919876543306,Company 1,Mumbai,Maharashtra,India,No Answer,Test note for row 096,Eden Park Campaign
fb_097,2026-05-27 16:37:00,Lead User 097,lead097@example.com,+919876543307,Company 2,Bangalore,Karnataka,India,Not Interested,Test note for row 097,Leads on Demand
fb_098,2026-05-28 17:38:00,Lead User 098,lead098@example.com,+919876543308,Company 3,Delhi,Delhi,India,Closed,Test note for row 098,Sarjapur Plots
fb_099,2026-05-29 18:39:00,Lead User 099,lead099@example.com,+919876543309,Company 4,Pune,Maharashtra,India,Callback,Test note for row 099,Varah Swamy
fb_100,2026-05-10 09:40:00,Lead User 100,lead100@example.com,+919876543310,Company 5,Chennai,Tamil Nadu,India,Interested,Test note for row 100,Meridian Tower Launch
